Original	Obfused	Corrected
hope	hope	hope
,	,	,
to	to	to
prevent	prevent	prevent
my	my	my
calling	calling	calling
the	the	a
reckoning	reckoning	scullery
,	,	,
and	and	and
our	our	our
parting	parting	parting
without	without	without
ill-blood	ill-blood	_UNK
on	on	on
either	either	either
side	side	side
.	.	.
""""	""""	""""
Carton	Carton	_UNK
rejoining	rejoining	_UNK
,	,	,
""""	""""	""""
Nothing	Nothing	Nothing
in	in	in
life	life	life
!	!	!
""""	""""	""""
Darnay	Darnay	_UNK
rang	rang	rang
.	.	.
""""	""""	""""
Do	Do	Do
you	you	you
call	call	call
the	the	the
whole	whole	whole
reckoning	reckoning	wages
?	?	?
""""	""""	""""
said	said	said
Carton	Carton	_UNK
.	.	.
On	On	On
his	his	his
answering	answering	answering
in	in	in
the	a	the
affirmative	affirmative	affirmative
,	,	,
""""	""""	""""
Then	Then	Then
bring	bring	bring
me	me	me
another	another	another
pint	pint	pint
of	of	of
this	this	this
same	same	same
wine	wine	wine
,	,	,
drawer	drawer	drawer
,	,	,
and	and	and
come	come	come
and	and	and
wake	wake	wake
me	me	me
at	at	at
ten	ten	ten
.	.	.
""""	""""	""""
The	The	The
bill	bill	bill
being	being	being
paid	paid	paid
,	,	,
Charles	Charles	Charles
Darnay	Darnay	_UNK
rose	rose	rose
and	and	and
wished	wished	wished
him	him	him
good	good	good
night	night	night
.	.	.
Without	Without	magnificent
returning	returning	returning
the	a	a
wish	wish	wish
,	,	,
Carton	Carton	_UNK
rose	rose	rose
too	too	too
,	,	,
with	with	with
something	something	something
of	of	of
a	a	the
threat	threat	threat
of	of	of
defiance	defiance	defiance
in	in	in
his	his	his
manner	manner	manner
,	,	,
and	and	and
said	said	said
,	,	,
""""	""""	""""
A	The	The
last	last	last
word	word	word
,	,	,
Mr	Mr	Mr
.	.	.
Darnay	Darnay	_UNK
:	:	:
you	you	you
think	think	think
I	I	I
am	am	am
drunk	drunk	drunk
?	?	?
""""	""""	""""
""""	""""	""""
I	I	I
think	think	think
you	you	you
have	have	have
been	been	been
drinking	drinking	drinking
,	,	,
Mr	Mr	Mr
.	.	.
Carton	Carton	_UNK
.	.	.
""""	""""	""""
""""	""""	""""
Think	Think	Think
?	?	?
You	You	You
know	know	know
I	I	I
have	have	have
been	been	been
drinking	drinking	drinking
.	.	.
""""	""""	""""
""""	""""	""""
Since	Since	_UNK
I	I	I
must	must	must
say	say	say
so	so	so
,	,	,
I	I	I
know	know	know
it	it	it
.	.	.
""""	""""	""""
""""	""""	""""
Then	Then	Then
you	you	you
shall	shall	shall
likewise	likewise	likewise
know	know	know
why	why	why
.	.	.
I	I	I
am	am	am
a	a	a
disappointed	disappointed	disappointed
drudge	drudge	,
,	,	,
sir	sir	sir
.	.	.
I	I	I
care	care	care
for	for	for
no	no	no
man	man	man
on	on	on
earth	earth	earth
,	,	,
and	and	and
no	no	no
man	man	man
on	on	on
earth	earth	earth
cares	cares	cares
for	for	for
me	me	me
.	.	.
""""	""""	""""
""""	""""	""""
Much	Much	Much
to	to	to
be	be	be
regretted	regretted	_UNK
.	.	.
You	You	You
might	might	might
have	have	have
used	used	used
your	your	your
talents	talents	talents
better	better	better
.	.	.
""""	""""	""""
""""	""""	""""
May	May	May
be	be	be
so	so	so
,	,	,
Mr	Mr	Mr
.	.	.
Darnay	Darnay	_UNK
;	;	;
may	may	may
be	be	be
not	not	not
.	.	.
Don	Don	Don
'	'	'
t	t	t
let	let	let
your	your	your
sober	sober	sober
face	face	face
elate	elate	_UNK
you	you	you
,	,	,
however	however	however
;	;	;
you	you	you
don	don	don
'	'	'
t	t	t
know	know	know
what	what	what
it	it	it
may	may	may
come	come	come
to	to	to
.	.	.
Good	Good	Good
night	night	night
!	!	!
""""	""""	""""
When	When	When
he	he	he
was	was	was
left	left	left
alone	alone	alone
,	,	,
this	this	this
strange	strange	strange
being	being	being
took	took	took
up	up	up
a	a	the
candle	candle	candle
,	,	,
went	went	went
to	to	to
a	the	a
glass	glass	glass
that	that	that
hung	hung	hung
against	against	against
the	the	the
wall	wall	wall
,	,	,
and	and	and
surveyed	surveyed	surveyed
himself	himself	himself
minutely	minutely	_UNK
in	in	in
it	it	it
.	.	.
""""	""""	""""
Do	Do	Do
you	you	you
particularly	particularly	particularly
like	like	like
the	the	the
man	man	man
?	?	?
""""	""""	""""
he	he	he
muttered	muttered	muttered
,	,	,
at	at	at
his	his	his
own	own	own
image	image	_UNK
;	;	;
""""	""""	""""
why	why	why
should	should	should
you	you	you
particularly	particularly	particularly
like	like	like
a	a	a
man	man	man
who	who	who
resembles	resembles	_UNK
you	you	you
?	?	?
There	There	There
is	is	is
nothing	nothing	nothing
in	in	in
you	you	you
to	to	to
like	like	like
;	;	;
you	you	you
know	know	know
that	that	that
.	.	.
Ah	Ah	Ah
,	,	,
confound	confound	confound
you	you	you
!	!	!
What	What	What
a	the	the
change	change	change
you	you	you
have	have	have
made	made	made
in	in	in
yourself	yourself	yourself
!	!	!
A	A	A
good	good	good
reason	reason	reason
for	for	for
taking	taking	taking
to	to	to
a	the	the
man	man	man
,	,	,
that	that	that
he	he	he
shows	shows	shows
you	you	you
what	what	what
you	you	you
have	have	have
fallen	fallen	fallen
away	away	away
from	from	from
,	,	,
and	and	and
what	what	what
you	you	you
might	might	might
have	have	have
been	been	been
!	!	!
Change	Change	shower
places	places	places
with	with	with
him	him	him
,	,	,
and	and	and
would	would	would
you	you	you
have	have	have
been	been	been
looked	looked	looked
at	at	at
by	by	by
those	those	those
blue	blue	blue
eyes	eyes	eyes
as	as	as
he	he	he
was	was	was
,	,	,
and	and	and
commiserated	commiserated	_UNK
by	by	by
that	that	that
agitated	agitated	agitated
face	face	face
as	as	as
he	he	he
was	was	was
?	?	?
Come	Come	Come
on	on	on
,	,	,
and	and	and
have	have	have
it	it	it
out	out	out
in	in	in
plain	plain	plain
words	words	words
!	!	!
You	You	You
hate	hate	hate
the	the	the
fellow	fellow	fellow
.	.	.
""""	""""	""""
He	He	He
resorted	resorted	oar
to	to	to
his	his	his
pint	pint	pint
of	of	of
wine	wine	wine
for	for	for
consolation	consolation	consolation
,	,	,
drank	drank	drank
it	it	it
all	all	all
in	in	in
a	a	a
few	few	few
minutes	minutes	minutes
,	,	,
and	and	and
fell	fell	fell
asleep	asleep	asleep
on	on	on
his	his	his
arms	arms	arms
,	,	,
with	with	with
his	his	his
hair	hair	hair
straggling	straggling	straggling
over	over	over
the	the	the
table	table	table
,	,	,
and	and	and
a	the	a
long	long	long
winding-sheet	winding-sheet	_UNK
in	in	in
the	the	the
candle	candle	candle
dripping	dripping	_UNK
down	down	down
upon	upon	upon
him	him	him
.	.	.
V	V	_UNK
.	.	.
The	A	A
Jackal	Jackal	_UNK
Those	Those	Those
were	were	were
drinking	drinking	drinking
days	days	days
,	,	,
and	and	and
most	most	most
men	men	men
drank	drank	drank
hard	hard	hard
.	.	.
So	So	So
very	very	very
great	great	great
is	is	is
the	the	the
improvement	improvement	improvement
Time	Time	_UNK
has	has	has
brought	brought	brought
about	about	about
in	in	in
such	such	such
habits	habits	confusion
,	,	,
that	that	that
a	a	a
moderate	moderate	moderate
statement	statement	statement
of	of	of
the	a	a
quantity	quantity	quantity
of	of	of
wine	wine	wine
and	and	and
punch	punch	_UNK
which	which	which
one	one	one
man	man	man
would	would	would
swallow	swallow	swallow
in	in	in
the	the	the
course	course	course
of	of	of
a	a	the
night	night	night
,	,	,
without	without	without
any	any	any
detriment	detriment	_UNK
to	to	to
his	his	his
reputation	reputation	reputation
as	as	as
a	a	a
perfect	perfect	perfect
gentleman	gentleman	gentleman
,	,	,
would	would	would
seem	seem	seem
,	,	,
in	in	in
these	these	these
days	days	days
,	,	,
a	the	the
ridiculous	ridiculous	ultimate
exaggeration	exaggeration	_UNK
.	.	.
The	A	A
learned	learned	learned
profession	profession	profession
of	of	of
the	a	the
law	law	law
was	was	was
certainly	certainly	certainly
not	not	not
behind	behind	behind
any	any	any
other	other	other
learned	learned	he
profession	profession	profession
in	in	in
its	its	its
Bacchanalian	Bacchanalian	_UNK
propensities	propensities	_UNK
;	;	;
neither	neither	neither
was	was	was
Mr	Mr	Mr
.	.	.
Stryver	Stryver	_UNK
,	,	,
already	already	already
fast	fast	fast
shouldering	shouldering	_UNK
his	his	his
way	way	way
to	to	to
a	the	a
large	large	large
and	and	and
lucrative	lucrative	lucrative
practice	practice	practice
,	,	,
behind	behind	behind
his	his	his
compeers	compeers	_UNK
in	in	in
this	this	this
particular	particular	particular
,	,	,
any	any	any
more	more	more
than	than	than
in	in	in
the	the	the
drier	drier	_UNK
parts	parts	parts
of	of	of
the	the	a
legal	legal	legal
race	race	race
.	.	.
A	A	A
favourite	favourite	favourite
at	at	at
the	the	the
Old	Old	Old
Bailey	Bailey	Bailey
,	,	,
and	and	and
eke	eke	_UNK
at	at	at
the	the	the
Sessions	Sessions	Sessions
,	,	,
Mr	Mr	Mr
.	.	.
Stryver	Stryver	_UNK
had	had	had
begun	begun	begun
cautiously	cautiously	cautiously
to	to	to
hew	hew	_UNK
away	away	away
the	the	the
lower	lower	lower
staves	staves	_UNK
of	of	of
the	the	the
ladder	ladder	ladder
on	on	on
which	which	which
he	he	he
mounted	mounted	mounted
.	.	.
Sessions	Sessions	Sessions
and	and	and
Old	Old	Old
Bailey	Bailey	Bailey
had	had	had
now	now	now
to	to	to
summon	summon	summon
their	their	their
favourite	favourite	favourite
,	,	,
specially	specially	specially
,	,	,
to	to	to
their	their	their
longing	longing	_UNK
arms	arms	arms
;	;	;
and	and	and
shouldering	shouldering	_UNK
itself	itself	itself
towards	towards	towards
the	the	the
visage	visage	_UNK
of	of	of
the	the	a
Lord	Lord	Lord
Chief	Chief	_UNK
Justice	Justice	_UNK
in	in	in
the	the	the
Court	Court	_UNK
of	of	of
King	King	King
'	'	'
s	s	s
Bench	Bench	candles
,	,	,
the	the	the
florid	florid	_UNK
countenance	countenance	countenance
of	of	of
Mr	Mr	Mr
.	.	.
Stryver	Stryver	_UNK
might	might	might
be	be	be
daily	daily	daily
seen	seen	seen
,	,	,
bursting	bursting	bursting
out	out	out
of	of	of
the	the	the
bed	bed	bed
of	of	of
wigs	wigs	_UNK
,	,	,
like	like	like
a	a	a
great	great	great
sunflower	sunflower	_UNK
pushing	pushing	pushing
its	its	its
way	way	way
at	at	at
the	the	the
sun	sun	sun
from	from	from
among	among	among
a	the	the
rank	rank	rank
garden-full	garden-full	_UNK
of	of	of
flaring	flaring	flaring
companions	companions	companions
.	.	.
It	It	It
had	had	had
once	once	once
been	been	been
noted	noted	noted
at	at	at
the	the	the
Bar	Bar	Bar
,	,	,
that	that	that
while	while	while
Mr	Mr	Mr
.	.	.
Stryver	Stryver	_UNK
was	was	was
a	the	a
glib	glib	_UNK
man	man	man
,	,	,
and	and	and
an	an	an
unscrupulous	unscrupulous	_UNK
,	,	,
and	and	and
a	the	the
ready	ready	ready
,	,	,
and	and	and
a	a	a
bold	bold	bold
,	,	,
he	he	he
had	had	had
not	not	not
that	that	that
faculty	faculty	faculty
of	of	of
extracting	extracting	s--confound
the	the	the
essence	essence	_UNK
from	from	from
a	a	the
heap	heap	heap
of	of	of
statements	statements	_UNK
,	,	,
which	which	which
is	is	is
among	among	among
the	a	the
most	most	most
striking	striking	striking
and	and	and
necessary	necessary	necessary
of	of	of
the	the	the
advocate	advocate	weren
'	'	'
s	s	s
accomplishments	accomplishments	_UNK
.	.	.
But	But	But
,	,	,
a	a	the
remarkable	remarkable	remarkable
improvement	improvement	improvement
came	came	came
upon	upon	upon
him	him	him
as	as	as
to	to	to
this	this	this
.	.	.
The	The	The
more	more	more
business	business	business
he	he	he
got	got	got
,	,	,
the	a	the
greater	greater	greater
his	his	his
power	power	power
seemed	seemed	seemed
to	to	to
grow	grow	grow
of	of	of
getting	getting	getting
at	at	at
its	its	its
pith	pith	_UNK
and	and	and
marrow	marrow	_UNK
;	;	;
and	and	and
however	however	however
late	late	late
at	at	at
night	night	night
he	he	he
sat	sat	sat
carousing	carousing	_UNK
with	with	with
Sydney	Sydney	_UNK
Carton	Carton	_UNK
,	,	,
he	he	he
always	always	always
had	had	had
his	his	his
points	points	points
at	at	at
his	his	his
fingers	fingers	fingers
'	'	'
ends	ends	ends
in	in	in
the	the	the
morning	morning	morning
.	.	.
Sydney	Sydney	_UNK
Carton	Carton	_UNK
,	,	,
idlest	idlest	_UNK
and	and	and
most	most	most
unpromising	unpromising	_UNK
of	of	of
men	men	men
,	,	,
was	was	was
Stryver	Stryver	_UNK
'	'	'
s	s	s
great	great	great
ally	ally	_UNK
.	.	.
What	What	What
the	the	the
two	two	two
drank	drank	drank
together	together	together
,	,	,
between	between	between
Hilary	Hilary	_UNK
Term	Term	_UNK
and	and	and
Michaelmas	Michaelmas	_UNK
,	,	,
might	might	might
have	have	have
floated	floated	_UNK
a	a	the
king	king	king
'	'	'
s	s	s
ship	ship	_UNK
.	.	.
Stryver	Stryver	_UNK
never	never	never
had	had	had
a	a	the
case	case	case
in	in	in
hand	hand	hand
,	,	,
anywhere	anywhere	anywhere
,	,	,
but	but	but
Carton	Carton	_UNK
was	was	was
there	there	there
,	,	,
with	with	with
his	his	his
hands	hands	hands
in	in	in
his	his	his
pockets	pockets	pockets
,	,	,
staring	staring	staring
at	at	at
the	the	the
ceiling	ceiling	ceiling
of	of	of
the	the	the
court	court	court
;	;	;
they	they	they
went	went	went
the	the	the
same	same	same
Circuit	Circuit	_UNK
,	,	,
and	and	and
even	even	even
there	there	there
they	they	they
prolonged	prolonged	prolonged
their	their	their
usual	usual	usual
orgies	orgies	_UNK
late	late	late
into	into	into
the	the	the
night	night	night
,	,	,
and	and	and
Carton	Carton	_UNK
was	was	was
rumoured	rumoured	_UNK
to	to	to
be	be	be
seen	seen	seen
at	at	at
broad	broad	broad
day	day	day
,	,	,
going	going	going
home	home	home
stealthily	stealthily	stealthily
and	and	and
unsteadily	unsteadily	_UNK
to	to	to
his	his	his
lodgings	lodgings	lodgings
,	,	,
like	like	like
a	a	a
dissipated	dissipated	of
cat	cat	cat
.	.	.
At	At	At
last	last	last
,	,	,
it	it	it
began	began	began
to	to	to
get	get	get
about	about	about
,	,	,
among	among	among
such	such	such
as	as	as
were	were	were
interested	interested	interested
in	in	in
the	a	the
matter	matter	matter
,	,	,
that	that	that
although	although	although
Sydney	Sydney	_UNK
Carton	Carton	_UNK
would	would	would
never	never	never
be	be	be
a	a	the
lion	lion	_UNK
,	,	,
he	he	he
was	was	was
an	an	an
amazingly	amazingly	amazingly
good	good	good
jackal	jackal	_UNK
,	,	,
and	and	and
that	that	that
he	he	he
rendered	rendered	rendered
suit	suit	suit
and	and	and
service	service	service
to	to	to
Stryver	Stryver	_UNK
in	in	in
that	that	that
humble	humble	humble
capacity	capacity	capacity
.	.	.
""""	""""	""""
Ten	Ten	Ten
o	o	o
'	'	'
clock	clock	clock
,	,	,
sir	sir	sir
,	,	,
""""	""""	""""
said	said	said
the	the	a
man	man	man
at	at	at
the	the	a
tavern	tavern	tavern
,	,	,
whom	whom	whom
he	he	he
had	had	had
charged	charged	charged
to	to	to
wake	wake	wake
him--	him--	him--
""""	""""	""""
ten	ten	ten
o	o	o
'	'	'
clock	clock	clock
,	,	,
sir	sir	sir
.	.	.
""""	""""	""""
""""	""""	""""
_What	_What	_UNK
'	'	'
s_	s_	_UNK
the	a	the
matter	matter	matter
?	?	?
""""	""""	""""
""""	""""	""""
Ten	Ten	Ten
o	o	o
'	'	'
clock	clock	clock
,	,	,
sir	sir	sir
.	.	.
""""	""""	""""
""""	""""	""""
What	What	What
do	do	do
you	you	you
mean	mean	mean
?	?	?
Ten	Ten	Ten
o	o	o
'	'	'
clock	clock	clock
at	at	at
night	night	night
?	?	?
""""	""""	""""
""""	""""	""""
Yes	Yes	Yes
,	,	,
sir	sir	sir
.	.	.
Your	Your	Your
honour	honour	honour
told	told	told
me	me	me
to	to	to
call	call	call
you	you	you
.	.	.
""""	""""	""""
""""	""""	""""
Oh	Oh	Oh
!	!	!
I	I	I
remember	remember	remember
.	.	.
Very	Very	Very
well	well	well
,	,	,
very	very	very
well	well	well
.	.	.
""""	""""	""""
After	After	After
a	a	a
few	few	few
dull	dull	dull
efforts	efforts	efforts
to	to	to
get	get	get
to	to	to
sleep	sleep	sleep
again	again	again
,	,	,
which	which	which
the	the	the
man	man	man
dexterously	dexterously	dexterously
combated	combated	_UNK
by	by	by
stirring	stirring	stirring
the	the	the
fire	fire	fire
continuously	continuously	_UNK
for	for	for
five	five	five
minutes	minutes	minutes
,	,	,
he	he	he
got	got	got
up	up	up
,	,	,
tossed	tossed	tossed
his	his	his
hat	hat	hat
on	on	on
,	,	,
and	and	and
walked	walked	walked
out	out	out
.	.	.
He	He	He
turned	turned	turned
into	into	into
the	the	the
Temple	Temple	_UNK
,	,	,
and	and	and
,	,	,
having	having	having
revived	revived	_UNK
himself	himself	himself
by	by	by
twice	twice	twice
pacing	pacing	pacing
the	a	the
pavements	pavements	pavements
of	of	of
King	King	King
'	'	'
s	s	s
Bench-walk	Bench-walk	_UNK
and	and	and
Paper-buildings	Paper-buildings	_UNK
,	,	,
turned	turned	turned
into	into	into
the	a	the
Stryver	Stryver	_UNK
chambers	chambers	philosophically
.	.	.
The	The	The
Stryver	Stryver	_UNK
clerk	clerk	clerk
,	,	,
who	who	who
never	never	never
assisted	assisted	assisted
at	at	at
these	these	these
conferences	conferences	_UNK
,	,	,
had	had	had
gone	gone	gone
home	home	home
,	,	,
and	and	and
the	the	the
Stryver	Stryver	_UNK
principal	principal	'
opened	opened	opened
the	the	the
door	door	door
.	.	.
He	He	He
had	had	had
his	his	his
slippers	slippers	_UNK
on	on	on
,	,	,
and	and	and
a	a	the
loose	loose	loose
bed-gown	bed-gown	_UNK
,	,	,
and	and	and
his	his	his
throat	throat	throat
was	was	was
bare	bare	bare
for	for	for
his	his	his
greater	greater	greater
ease	ease	ease
.	.	.
He	He	He
had	had	had
that	that	that
rather	rather	rather
wild	wild	wild
,	,	,
strained	strained	brooches
,	,	,
seared	seared	,
marking	marking	marking
about	about	about
the	the	the
eyes	eyes	eyes
,	,	,
which	which	which
may	may	may
be	be	be
observed	observed	observed
in	in	in
all	all	all
free	free	free
livers	livers	_UNK
of	of	of
his	his	his
class	class	class
,	,	,
from	from	from
the	the	a
portrait	portrait	portrait
of	of	of
Jeffries	Jeffries	_UNK
downward	downward	_UNK
,	,	,
and	and	and
which	which	which
can	can	can
be	be	be
traced	traced	courts
,	,	,
under	under	under
various	various	various
disguises	disguises	_UNK
of	of	of
Art	Art	_UNK
,	,	,
through	through	through
the	a	the
portraits	portraits	_UNK
of	of	of
every	every	every
Drinking	Drinking	_UNK
Age	Age	_UNK
.	.	.
""""	""""	""""
You	You	You
are	are	are
a	a	a
little	little	little
late	late	late
,	,	,
Memory	Memory	_UNK
,	,	,
""""	""""	""""
said	said	said
Stryver	Stryver	_UNK
.	.	.
""""	""""	""""
About	About	About
the	the	the
usual	usual	usual
time	time	time
;	;	;
it	it	it
may	may	may
be	be	be
a	the	a
quarter	quarter	quarter
of	of	of
an	an	an
hour	hour	hour
later	later	later
.	.	.
""""	""""	""""
They	They	They
went	went	went
into	into	into
a	a	the
dingy	dingy	_UNK
room	room	room
lined	lined	lined
with	with	with
books	books	books
and	and	and
littered	littered	_UNK
with	with	with
papers	papers	papers
,	,	,
where	where	where
there	there	there
was	was	was
a	a	the
blazing	blazing	wily
fire	fire	fire
.	.	.
A	A	A
kettle	kettle	kettle
steamed	steamed	_UNK
upon	upon	upon
the	a	the
hob	hob	hob
,	,	,
and	and	and
in	in	in
the	a	the
midst	midst	midst
of	of	of
the	the	the
wreck	wreck	characteristics
of	of	of
papers	papers	papers
a	the	the
table	table	table
shone	shone	shone
,	,	,
with	with	with
plenty	plenty	plenty
of	of	of
wine	wine	wine
upon	upon	upon
it	it	it
,	,	,
and	and	and
brandy	brandy	brandy
,	,	,
and	and	and
rum	rum	rum
,	,	,
and	and	and
sugar	sugar	sugar
,	,	,
and	and	and
lemons	lemons	_UNK
.	.	.
""""	""""	""""
You	You	You
have	have	have
had	had	had
your	your	your
bottle	bottle	bottle
,	,	,
I	I	I
perceive	perceive	_UNK
,	,	,
Sydney	Sydney	_UNK
.	.	.
""""	""""	""""
""""	""""	""""
Two	Two	Two
to-night	to-night	to-night
,	,	,
I	I	I
think	think	think
.	.	.
I	I	I
have	have	have
been	been	been
dining	dining	_UNK
with	with	with
the	the	the
day	day	day
'	'	'
s	s	s
client	client	_UNK
;	;	;
or	or	or
seeing	seeing	seeing
him	him	him
dine--it	dine--it	_UNK
'	'	'
s	s	s
all	all	all
one	one	one
!	!	!
""""	""""	""""
""""	""""	""""
That	That	That
was	was	was
a	a	a
rare	rare	rare
point	point	point
,	,	,
Sydney	Sydney	_UNK
,	,	,
that	that	that
you	you	you
brought	brought	brought
to	to	to
bear	bear	bear
upon	upon	upon
the	the	the
identification	identification	_UNK
.	.	.
How	How	How
did	did	did
you	you	you
come	come	come
by	by	by
it	it	it
?	?	?
When	When	When
did	did	did
it	it	it
strike	strike	strike
you	you	you
?	?	?
""""	""""	""""
""""	""""	""""
I	I	I
thought	thought	thought
he	he	he
was	was	was
rather	rather	rather
a	a	a
handsome	handsome	handsome
fellow	fellow	fellow
,	,	,
and	and	and
I	I	I
thought	thought	thought
I	I	I
should	should	should
have	have	have
been	been	been
much	much	much
the	the	the
same	same	same
sort	sort	sort
of	of	of
fellow	fellow	fellow
,	,	,
if	if	if
I	I	I
had	had	had
had	had	had
any	any	any
luck	luck	luck
.	.	.
""""	""""	""""
Mr	Mr	Mr
.	.	.
Stryver	Stryver	_UNK
laughed	laughed	laughed
till	till	till
he	he	he
shook	shook	shook
his	his	his
precocious	precocious	_UNK
paunch	paunch	_UNK
.	.	.
""""	""""	""""
You	You	You
and	and	and
your	your	your
luck	luck	luck
,	,	,
Sydney	Sydney	_UNK
!	!	!
Get	Get	Get
to	to	to
work	work	work
,	,	,
get	get	get
to	to	to
work	work	work
.	.	.
""""	""""	""""
Sullenly	Sullenly	_UNK
enough	enough	enough
,	,	,
the	the	a
jackal	jackal	_UNK
loosened	loosened	loosened
his	his	his
dress	dress	dress
,	,	,
went	went	went
into	into	into
an	an	an
adjoining	adjoining	adjoining
room	room	room
,	,	,
and	and	and
came	came	came
back	back	back
with	with	with
a	the	a
large	large	large
jug	jug	jug
of	of	of
cold	cold	cold
water	water	water
,	,	,
a	a	a
basin	basin	basin
,	,	,
and	and	and
a	the	a
towel	towel	_UNK
or	or	or
two	two	two
.	.	.
Steeping	Steeping	_UNK
the	the	the
towels	towels	_UNK
in	in	in
the	the	the
water	water	water
,	,	,
and	and	and
partially	partially	partially
wringing	wringing	wringing
them	them	them
out	out	out
,	,	,
he	he	he
folded	folded	folded
them	them	them
on	on	on
his	his	his
head	head	head
in	in	in
a	the	the
manner	manner	manner
hideous	hideous	hideous
to	to	to
behold	behold	behold
,	,	,
sat	sat	sat
down	down	down
at	at	at
the	the	the
table	table	table
,	,	,
and	and	and
said	said	said
,	,	,
""""	""""	""""
Now	Now	Now
I	I	I
am	am	am
ready	ready	ready
!	!	!
""""	""""	""""
""""	""""	""""
Not	Not	Not
much	much	much
boiling	boiling	boiling
down	down	down
to	to	to
be	be	be
done	done	done
to-night	to-night	to-night
,	,	,
Memory	Memory	_UNK
,	,	,
""""	""""	""""
said	said	said
Mr	Mr	Mr
.	.	.
Stryver	Stryver	_UNK
,	,	,
gaily	gaily	gaily
,	,	,
as	as	as
he	he	he
looked	looked	looked
among	among	among
his	his	his
papers	papers	papers
.	.	.
""""	""""	""""
How	How	How
much	much	much
?	?	?
""""	""""	""""
""""	""""	""""
Only	Only	Only
two	two	two
sets	sets	sets
of	of	of
them	them	them
.	.	.
""""	""""	""""
""""	""""	""""
Give	Give	Give
me	me	me
the	a	the
worst	worst	worst
first	first	first
.	.	.
""""	""""	""""
""""	""""	""""
There	There	There
they	they	they
